t1_ph,t2_ph,phone,t1_wd,t2_wd,word,t1_stop,t2_stop,stop,t1_vot,t2_vot,vot,fname,speaker,ph_per_wd,wd_dur,speakerLang
23.721125,23.851125,K,23.721125,24.141125,can,23.721125,23.851125,K,23.788,23.863,0.07499999999999929,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,3,0.3531249999999986,italian
35.68075,35.78075,K,35.68075,35.978775,kid,35.68075,35.78075,K,35.729,35.792,0.06300000000000239,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,3,0.24977499999999964,italian
70.424875,70.594875,K,70.424875,70.935409,comma,70.424875,70.594875,K,70.525,70.6,0.07499999999998863,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.41040900000000136,italian
169.96275,170.08275,K,169.96275,170.23275,kind,169.96275,170.08275,K,170.037,170.079,0.04200000000000159,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.19575000000000387,italian
171.669375,171.769375,K,171.669375,171.899375,can,171.669375,171.769375,K,171.729,171.77,0.04099999999999682,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,3,0.17037499999997863,italian
260.188,260.258,T,260.188,260.638,talking,260.188,260.258,T,260.236,260.269,0.03300000000001546,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,5,0.4019999999999868,italian
280.312875,280.432875,K,280.312875,280.632875,kind,280.312875,280.432875,K,280.384,280.44,0.055999999999983174,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.24887499999999818,italian
350.367625,350.477625,K,350.367625,350.771429,cat,350.367625,350.477625,K,350.433,350.492,0.05900000000002592,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.3384290000000192,italian
370.251125,370.381125,K,370.251125,370.640032,cat,370.251125,370.381125,K,370.336,370.38,0.04399999999998272,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.3040320000000065,italian
390.981875,391.021875,K,390.981875,391.431875,completely,390.981875,391.021875,K,391.00519796487595,391.031,0.025802035124058875,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,9,0.42667703512404387,italian
398.393,398.483,P,398.393,398.843,poster,398.393,398.483,P,398.48580313303427,398.4947633086999,0.008960175665606585,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,5,0.3571968669657508,italian
455.474875,455.594875,K,455.474875,455.91263,cup,455.474875,455.594875,K,455.552,455.608,0.055999999999983174,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,3,0.3606299999999578,italian
456.711,456.951,T,456.711,457.601221,tea,456.711,456.951,T,456.89312614930674,456.936,0.042873850693240456,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,3,0.7080948506932714,italian
458.222875,458.322875,T,458.222875,458.460039,too,458.222875,458.322875,T,458.281,458.365,0.08400000000000318,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,2,0.17903899999998885,italian
467.1791127949976,467.2215572789445,T,467.1791127949976,467.30526723339534,to,467.1791127949976,467.2215572789445,T,467.1921540566973,467.2180923524426,0.025938295745334017,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,2,0.11311317669805021,italian
467.30526723339534,467.3913352147321,P,467.30526723339534,468.196375,protect,467.30526723339534,467.3913352147321,P,467.32080419383243,467.34910051646375,0.02829632263131998,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,7,0.8755708061675591,italian
502.08025,502.18025,K,502.08025,502.47025,course,502.08025,502.18025,K,502.145,502.178,0.03300000000001546,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.32525000000003956,italian
537.7095,537.8795,P,537.7095,538.133304,please,537.7095,537.8795,P,537.859,537.892,0.03300000000001546,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.2743039999999155,italian
587.504125,587.564125,P,587.504125,587.964125,protect,587.504125,587.564125,P,587.552,587.567,0.014999999999986358,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,6,0.41212499999994634,italian
587.964125,588.134125,K,587.964125,588.512125,clothes,587.964125,588.134125,K,588.072,588.164,0.09199999999998454,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.44012499999996635,italian
590.008,590.078,P,590.008,590.544587,pants,590.008,590.078,P,590.057,590.087,0.029999999999972715,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,5,0.48758699999996225,italian
595.80375,595.92375,P,595.80375,596.24375,pink,595.80375,595.92375,P,595.912,595.935,0.02299999999991087,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,4,0.3317499999999427,italian
640.84,640.88,K,640.84,640.95,co-,640.84,640.88,K,640.852,640.887,0.03499999999996817,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_IT_01_SP_02_EN_IT_01_DP_IT_01_SP_02_EN_SP_02_output.TextGrid,1,2,0.09800000000007003,italian
66.93802,67.049875,K,66.93802,67.452413,color,66.93802,67.049875,K,66.95,67.054,0.1039999999999992,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_CHF_04_KOF_03_EN_KOF_03_DP_CHF_04_KOF_03_EN_CHF_04_output.TextGrid,1,4,0.5024130000000042,chinese
92.99075,93.11075,K,92.99075,93.459498,color,92.99075,93.11075,K,93.052,93.11,0.057999999999992724,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_CHF_04_KOF_03_EN_KOF_03_DP_CHF_04_KOF_03_EN_CHF_04_output.TextGrid,1,4,0.4074979999999897,chinese
113.568999,113.643281,T,113.568999,113.706375,to,113.568999,113.643281,T,113.601,113.639,0.0379999999999967,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_CHF_04_KOF_03_EN_KOF_03_DP_CHF_04_KOF_03_EN_CHF_04_output.TextGrid,1,2,0.10537499999999511,chinese
114.417779,114.541849,K,114.417779,115.176375,cocktail,114.417779,114.541849,K,114.44558758354773,114.52860660435033,0.08301902080259538,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_CHF_04_KOF_03_EN_KOF_03_DP_CHF_04_KOF_03_EN_CHF_04_output.TextGrid,1,6,0.7307874164522588,chinese
125.81835207513933,125.85760125682569,T,125.81835207513933,125.883,to,125.81835207513933,125.85158580740054,T,125.82233481682292,125.856,0.033665183177078006,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_CHF_04_KOF_03_EN_KOF_03_DP_CHF_04_KOF_03_EN_CHF_04_output.TextGrid,1,2,0.06066518317707903,chinese
128.878625,128.988625,T,128.878625,129.470571,[T:AY:D:ER_title],128.878625,128.988625,T,128.917,128.982,0.06499999999999773,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_CHF_04_KOF_03_EN_KOF_03_DP_CHF_04_KOF_03_EN_CHF_04_output.TextGrid,1,4,0.5535710000000051,chinese
134.338625,134.408625,P,134.338625,134.758625,picture,134.338625,134.408625,P,134.375,134.423,0.04800000000000182,/Users/ernesto/Desktop/Projects/vot-cp/vot-dev/output/DP_CHF_04_KOF_03_EN_KOF_03_DP_CHF_04_KOF_03_EN_CHF_04_output.TextGrid,1,5,0.383624999999995,chinese
